No,Category,Title,question,answer
1,メリクリウス,MerQNetの画面が開けない,MerQNetの画面が開けない,"①②のどちらのパターンかによって対応が変わります。
①MerQNetのトップページが開いてしまう
新人さんのPCにはWindowsUpdate用のプログラム「Flex Work Unifer」がインストールされておりませんでした。
添付のエクセルファイルをDLして、こちらの方法でWindowsUpdateを実施してください。
②MerQNetの画面が開くが、ポップアップがブロックされてしまう②MerQNetの画面が開くが、ポップアップがブロックされてしまう
https://housefoodsgroup.slack.com/archives/C03PDP5ALSH/p1663138906543999
上記Slackにあります通り、企画運営部での作業が必要です。
作業時間は15分程ですので、お時間のある時に企画運営部4G　菅野裕子（不在時　福中さん、中山さん）まで対応をご依頼ください。"
2,PulseSecure,PulseSecureの不具合について,最近、テレワーク中にPulseSecureが切断される現象がでてきました。,"PulseSecureについて、現在のバージョンでは接続の不具合が発生する場合があります。
現在、HBPの方で新バージョン（ivanti）の検証中です。不具合が解消されましたら正式にリリースされますが、不具合が出てお困りの場合は、先に新バージョンへの移行も可能です。
※ただし新バージョンはWebサイトに接続の際に1秒ほど「このサイトにアクセスできません」の画面が表示されてしまいます。
　（添付ご参照）待っていればそのまま接続されます。
アイコンやアプリ名が別のものに変わりますが、操作方法は同じで、設定も自動的に引き継がれます。
■インストール操作
指定のファイル（インストーラ）をデスクトップにコピーする。

①インストーラーファイルをダブルクリック
②Ivanti Secure Access Client セットアップウィザードへようこそ
　の画面が出るので、「次へ」をクリック
③Ivanti Secure Access Client のインストール準備完了
　の画面が出るので、「インストール」をクリック
④Ivanti Secure Access Client セットアップウィザードが完了しました
　の画面が出るので、「完了」をクリックして終了になります。

■インストーラー保管場所
\\nt-osnas2\DV情シＦ\システム事業部オープンフォルダ\Ivanti_22_2_1_旧PulseSecure

■インストールファイル名
ps-pulse-win-22.2r1.0-b1295-64bit-installer.msi"
3,ポータル,ポータルのメールボックスが開けない,"（以前もありました。）
『パスワードの残り期間は24658日です』みたいな、人を馬鹿にしたメッセージと共に切断されます。私だけでしょうか・・・","　連絡文書「Pｼｽ-72:Edge切り替え後に発生するポータルの不具合について」
　でご案内しておりますが、「トリプルクリック（※）」により以下の事象も
　発生する事が分かりました。

　　　・メール発信画面やポータル画面が消失する。
　　　・メール発信画面や受信画面が表示できない。
　　　・ビジネスキャビネット文書が表示できない。　など
　
　※ 意図的に「トリプルクリック」を行うことは無いと思いますが、素早く
　　 ダブルクリックを行った場合に、意図せずトリプルクリック扱いとなる
　　 可能性があります。

　現在、メーカへ対応を依頼しておりますが、Microsoftの不具合に起因して
　おり解決の目途が立っておりません。
　
　上記の事象が発生した場合、パソコンの再起動をお願い致します。

　皆さまには大変ご迷惑をお掛け致しますが、ご理解いただきますよう
　宜しくお願い致します。

　ご不明な点等ありましたら、岡(外線06-6788-5521/内線8-98-1500)まで
　お願い致します。


＜続報＞【ポータルのメールボックスが開けない件】　添付資料あり
パソコンを再起動しなくても回復できそうな方法がありましたので、共有させていただきます。
同症状でお困りの際は、お試しいただけると幸いです。
よろしくお願いいたします。"
4,ポータル,ポータルトップページのリンクが正常に開けない,"全社共通→ツール集→営業支援にある、HITプロモーションというページを開きたいのですが、添付画像のようなメッセージが出て開けません。
何か解決方法があれば教えていただきたいです。","ポータルトップページの「トピックス」等のリンクが正常に開かない（IDとパスワード入力を求められる）場合
グループイントラニュースを開き、正常に表示されたら、再度アクセスすると開けるようになります。
（グループイントラニュースも何個か開いてみないと正常に表示されない場合があります。）"
5,メール送信,動画ファイルを送る方法,社外の方へ動画ファイルを送りたいのですが、サイズが大きくそのままでは送れません。圧縮するソフトや使用してよいファイル共有サイトなどあれば教えていただきたいです。,菅野さんか福中さんにファイルを共有して頂ければ、BOXというファイル共有サービスにファイルをアップロードし、DL用URLをご返信いたします
6,設定,会社支給ipad、iphoneにslackを設定する方法,"現在iPhoneでSlackというアプリを使っていて、iPadでアカウントを同期したいと思い、やり方を調べてみたのですが見つかりませんでした。
１つのアカウントを複数端末で同期はできないのでしょうか？
もしできるとしたらそのやり方を教えていただきたいです。","wifi環境や各種設定が必要なため、企画運営部(研究所1F)にて作業いたします。
iosのバージョンによって数時間かかるため、お時間に余裕のある時に作業させていただければと思います。
ざっくりとした手順は以下の通りとなります。
　①iosのバージョンを15以上にアップデート（要wifi環境）※ios16は202209時点では導入不可
　②Slack、Citrix等必要なアプリを入れ直し&バージョンアップ
　（ケータイポータルの入れ直しはHBPに登録して頂く必要があるため、iphoneはさらにお時間がかかります）
　③Salckをメールアドレス＆パスワードでログイン
　　★以降ご本人による操作が必要です。所要時間15分くらいです
　④ご自身の会社のメールアドレスに届くSlackのログイン認証メールをiphone、ipadのメールアドレスに転送
　⑤iphone、ipadのメールからSlackログイン処理"
7,設定,AcrobatReaderの回転機能について,AcrobatReaderの回転機能について,"対象：Acrobat Reader 64bit版をお使いのみなさま（2022年8月導入の新しいPCをお使いのみなさま）
PDFを表示させたときに回転機能がそのままだと使えません。
こちらのファイルをご参照いただき、ボタンを追加してください。"
8,設定,UC Client再設定,UC Client再設定,"不確かな情報で恐縮でございますが、今週より配布されておりますWindows Updateをテレワークにて実施すると
UC Clientのサインイン情報（ID、パスワード）がリセットされる現象が確認されております。
　＜UC Client サインイン情報＞　ID、パスワードはPCログイン時のID、パスワードになります。
また、Windows Updateを実行して、再起動要求がきたまま再起動しないとUC Clientが切断状態のままに
なる恐れがあります。再起動し、サインインしなおすと問題なく使用できるかと思われます。"
9,設定,ダイレクトFAX設定方法,ダイレクトFAX設定方法,"【ダイレクトFAX設定方法】
添付ファイルをダウンロードしてご参照ください。"
10,設定,iphoneへの機種変更について,iphoneへの機種変更について,"①ランニングコストを含めて10万以上かかるため、部次長に変更許可をいただいてください。
　　（役職に関わらず業務上必要と判断される方が対象となります）
②以下の内容を担当者までお知らせください。（メールでもSlackのダイレクトメッセージでも大丈夫です！）
　　　・お使いのガラケーの管理番号（裏のシールにある『FP-XXXX』のような番号）
　　　・お使いのガラケーの外線番号
　　　・ご利用者様のお名前、社員番号
　★☆注意事項★☆
　　現在、半導体不足のため、iphoneの入荷時期が未定となっております。
　　（参考として最近申請したケースでは、入荷まで3か月以上かかりました）
　　→20220929追記：今後申請分は本格的に入荷未定です。いつになるか分かりません。
　　機種変更用のiphoneが到着するまでお時間がかかってしまう旨、ご了承ください。
　　また、現在ケータイポータルのアカウントの新規発行が大変難しくなっております。
　　機種変ができてもケータイポータルが使えない場合があります。（office365移行まで）"
